expID,subID,threshold,label#,onset,offset,learned,pretrained,roi_at_label_onset,roi_at_label_onset_long,prior,prior_long,switch,switch_long,next,next_long,stateID,stateID_long,GazeDistributionBucket,GazeDistributionBucket_long,targetGazeCount,targetGazeCount_long,targetGazeCountOffWindows,targetGazeCountOffWindows_long,uniqueObjectsVisitedCount,uniqueObjectsVisitedCount_long,skewed,skewed_long,correctness,correctness_long,preLabelWindowCount,preLabelWindowCount_long,trial,labelingInstance,SubjObjectGazeProp
185,18512,0.7,11,169.3,171.55,0,3,11,11,1,1,1,1,0,0,2,2,1,1,1,1,3,3,3,3,0,0,0,0,1,1,15,2,0.897041688
185,18512,0.7,6,174,176.25,0,3,12,12,0,0,0,0,0,0,8,8,5,5,1,1,3,2,2,2,1,1,1,1,0,0,16,5,0.897041688
185,18512,0.7,9,176.25,178.5,0,2,6,6,0,0,0,0,0,0,8,8,5,5,1,1,2,2,2,2,1,1,1,1,0,0,16,4,0.897041688
185,18512,0.7,12,178.5,180.75,0,0,9,9,0,0,0,0,0,0,8,8,4,4,0,0,2,1,2,2,1,1,0,0,2,2,16,4,0.897041688
185,18512,0.7,15,180.75,183,0,1,15,15,1,1,1,0,1,1,1,3,3,6,2,1,1,1,4,3,0,1,2,2,1,1,16,4,0.897041688
185,18512,0.7,4,185.45,187.7,0,0,4,4,1,1,0,0,1,1,3,3,6,6,1,1,0,0,2,2,1,1,2,2,1,1,17,4,0.897041688
185,18512,0.7,16,187.7,189.95,0,0,15,15,0,0,1,1,1,1,5,5,6,6,1,1,2,2,2,2,1,1,2,2,1,1,17,5,0.897041688
185,18512,0.7,15,189.95,192.2,0,1,15,15,1,1,0,0,1,1,3,3,2,2,1,1,4,3,2,2,0,0,1,1,0,0,17,5,0.897041688
185,18512,0.7,1,192.2,194.45,1,0,16,16,0,0,1,1,1,1,5,5,6,6,1,1,0,0,2,2,1,1,2,2,1,1,17,4,0.897041688
185,18512,0.7,9,196.9,199.15,0,2,14,14,0,0,0,0,0,0,8,8,4,4,1,1,3,3,2,2,1,1,0,0,0,0,18,5,0.897041688
185,18512,0.7,14,199.15,201.4,0,0,9,9,0,0,1,1,0,0,6,6,1,1,1,1,3,3,4,4,0,0,0,0,2,2,18,5,0.897041688
185,18512,0.7,2,201.4,203.65,1,1,0,0,0,0,1,1,1,1,5,5,6,6,1,1,2,2,3,3,1,1,2,2,1,1,18,4,0.897041688
185,18512,0.7,17,203.65,205.9,0,0,14,14,0,0,1,1,1,1,5,5,3,3,1,1,2,2,4,4,0,0,2,2,1,1,18,4,0.897041688
185,18512,0.7,2,208.35,210.6,1,1,2,2,1,1,1,1,0,0,2,2,2,2,1,1,0,0,3,3,0,0,1,1,2,2,19,5,0.897041688
185,18512,0.7,5,210.6,212.85,0,0,13,13,0,0,1,1,0,0,6,6,1,1,1,1,3,2,3,3,0,0,0,0,1,1,19,5,0.897041688
185,18512,0.7,11,212.85,215.1,0,3,13,13,0,0,0,0,0,0,8,8,4,4,0,0,3,3,2,2,1,1,0,0,1,1,19,3,0.897041688
185,18512,0.7,13,215.1,217.35,0,1,5,5,0,0,0,0,0,0,8,8,4,4,0,0,4,4,1,1,1,1,0,0,0,0,19,4,0.897041688
185,18512,0.7,1,219.8,222.05,1,0,15,15,0,0,1,1,0,0,6,6,4,4,0,0,3,3,2,2,1,1,0,0,1,1,20,5,0.897041688
185,18512,0.7,11,222.05,224.3,0,3,11,11,1,1,1,1,0,0,2,2,4,4,1,1,1,1,3,3,1,1,0,0,2,2,20,4,0.897041688
185,18512,0.7,15,224.3,226.55,0,1,1,1,0,0,0,0,0,0,8,8,5,5,1,1,3,3,2,2,1,1,1,1,1,1,20,6,0.897041688
185,18512,0.7,18,226.55,228.8,0,2,15,15,0,0,1,1,0,0,6,6,4,4,0,0,1,1,2,2,1,1,0,0,1,1,20,5,0.897041688
185,18512,0.7,17,231.25,233.5,0,0,17,17,1,1,1,1,0,0,2,2,5,5,2,2,3,3,2,2,1,1,1,1,2,2,21,5,0.897041688
185,18512,0.7,12,233.5,235.75,0,0,17,17,0,0,1,1,0,0,6,6,2,2,1,1,3,3,3,3,0,0,1,1,1,1,21,5,0.897041688
185,18512,0.7,5,235.75,238,0,0,5,5,1,1,1,1,0,0,2,2,1,1,1,1,3,3,4,4,0,0,0,0,1,1,21,6,0.897041688
185,18512,0.7,3,238,240.25,1,3,12,12,0,0,1,1,0,0,6,6,2,2,1,1,2,2,3,3,0,0,1,1,1,1,21,5,0.897041688
185,18512,0.7,1,242.7,244.95,1,0,0,0,0,0,1,1,1,1,5,5,6,6,1,1,0,0,2,2,1,1,2,2,1,1,22,6,0.897041688
185,18512,0.7,7,244.95,247.2,0,2,13,13,0,0,0,0,0,0,8,8,6,6,1,1,3,3,2,2,1,1,2,2,1,1,22,4,0.897041688
185,18512,0.7,8,247.2,249.45,0,0,7,7,0,0,1,1,1,1,5,5,2,2,2,2,3,1,3,3,0,0,1,1,1,1,22,4,0.897041688
185,18512,0.7,13,249.45,251.7,0,1,7,7,0,0,1,1,0,0,6,6,4,4,0,0,3,3,2,2,1,1,0,0,1,1,22,5,0.897041688
185,18512,0.7,4,254.15,256.4,0,0,11,11,0,0,1,1,0,0,6,6,4,4,0,0,1,1,2,2,1,1,0,0,1,1,23,5,0.897041688
185,18512,0.7,14,256.4,258.65,0,0,11,11,0,0,0,0,0,0,8,8,4,4,0,0,2,2,1,1,1,1,0,0,1,1,23,6,0.897041688
185,18512,0.7,11,258.65,260.9,0,3,11,11,1,1,1,1,0,0,2,2,4,4,1,1,5,4,3,3,1,1,0,0,1,1,23,5,0.897041688
185,18512,0.7,7,260.9,263.15,0,2,7,7,1,1,1,0,1,1,1,3,6,6,3,1,1,1,3,3,1,1,2,2,1,1,23,5,0.897041688
185,18512,0.7,16,265.6,267.85,0,0,8,8,0,0,1,1,0,0,6,6,4,4,0,0,4,4,3,3,1,1,0,0,1,1,24,6,0.897041688
185,18512,0.7,6,267.85,270.1,0,3,8,8,0,0,1,1,1,1,5,5,4,4,1,1,4,4,3,3,1,1,0,0,1,1,24,6,0.897041688
185,18512,0.7,10,270.1,272.35,0,0,10,10,1,1,1,1,0,0,2,2,1,1,1,1,3,3,3,3,0,0,0,0,0,0,24,5,0.897041688
185,18512,0.7,8,272.35,274.6,0,0,16,16,0,0,0,0,0,0,8,8,4,4,0,0,3,3,3,3,1,1,0,0,2,2,24,5,0.897041688
185,18512,0.7,2,277.05,279.3,1,1,4,4,0,0,0,0,0,0,8,8,4,4,1,1,1,1,2,2,1,1,0,0,0,0,25,6,0.897041688
185,18512,0.7,4,279.3,281.55,0,0,2,2,0,0,1,1,1,1,5,5,6,6,1,1,6,5,3,3,1,1,2,2,1,1,25,6,0.897041688
185,18512,0.7,9,281.55,283.8,0,2,12,12,0,0,1,1,0,0,6,6,1,1,1,1,1,1,3,3,0,0,0,0,0,0,25,6,0.897041688
185,18512,0.7,12,283.8,286.05,0,0,4,4,0,0,1,1,0,0,6,6,4,4,0,0,3,3,2,2,1,1,0,0,0,0,25,6,0.897041688
185,18512,0.7,13,288.5,290.75,0,1,3,3,0,0,1,1,0,0,6,6,4,4,1,1,5,5,3,3,1,1,0,0,1,1,26,6,0.897041688
185,18512,0.7,3,290.75,293,1,3,13,13,0,0,1,1,0,0,6,6,2,2,1,1,2,2,3,3,0,0,1,1,1,1,26,6,0.897041688
185,18512,0.7,18,293,295.25,0,2,13,13,0,0,0,0,0,0,8,8,5,5,1,1,1,1,3,2,1,1,1,1,1,1,26,6,0.897041688
185,18512,0.7,10,295.25,297.5,0,0,13,13,0,0,0,0,0,0,8,8,4,4,1,1,2,1,3,3,1,1,0,0,1,1,26,6,0.897041688
185,18512,0.7,11,299.95,302.2,0,3,8,8,0,0,1,1,0,0,6,6,2,2,1,1,2,2,4,4,0,0,1,1,0,0,27,6,0.897041688
185,18512,0.7,17,302.2,304.45,0,0,8,8,0,0,1,1,0,0,6,6,4,4,0,0,2,2,2,2,1,1,0,0,1,1,27,6,0.897041688
185,18512,0.7,7,304.45,306.7,0,2,11,11,0,0,1,1,1,1,5,5,3,3,2,2,1,1,3,3,0,0,2,2,0,0,27,6,0.897041688
185,18512,0.7,8,306.7,308.95,0,0,8,8,1,1,0,0,1,1,3,3,6,6,2,2,5,5,2,2,1,1,2,2,2,1,27,6,0.897041688
185,18513,0.7,10,2.25,4.5,0,0,7,7,0,0,1,1,0,0,6,6,4,4,0,0,3,3,2,2,1,1,0,0,1,1,1,1,0.891636458
185,18513,0.7,5,4.5,6.75,0,0,5,5,1,1,1,1,0,0,2,2,2,2,1,1,3,3,3,3,0,0,1,1,1,1,1,1,0.891636458
185,18513,0.7,7,6.75,9,0,2,10,10,0,0,1,1,0,0,6,6,4,4,0,0,1,1,2,2,1,1,0,0,1,1,1,1,0.891636458
185,18513,0.7,2,9,11.25,0,1,5,5,0,0,0,0,0,0,8,8,4,4,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0.891636458
185,18513,0.7,14,13.7,15.95,0,0,14,14,1,1,0,0,1,1,3,3,3,3,1,1,4,4,3,3,0,0,2,2,1,1,2,1,0.891636458
185,18513,0.7,6,15.95,18.2,0,3,6,6,1,1,1,1,0,0,2,2,1,1,1,1,4,4,4,4,0,0,0,0,0,0,2,1,0.891636458
185,18513,0.7,3,18.2,20.45,0,3,14,14,0,0,1,1,0,0,6,6,1,1,0,0,2,2,3,3,0,0,0,0,0,0,2,1,0.891636458
185,18513,0.7,4,20.45,22.7,0,0,14,14,0,0,0,0,0,0,8,8,1,1,1,1,4,4,4,4,0,0,0,0,0,0,2,1,0.891636458
185,18513,0.7,12,25.15,27.4,0,0,12,12,1,1,1,1,0,0,2,2,5,5,1,1,6,6,3,3,1,1,1,1,2,1,3,1,0.891636458
185,18513,0.7,6,27.4,29.65,0,3,13,13,0,0,1,1,0,0,6,6,1,1,0,0,4,4,3,3,0,0,0,0,0,0,3,2,0.891636458
185,18513,0.7,13,29.65,31.9,1,1,12,12,0,0,1,1,0,0,6,6,4,4,0,0,2,2,2,2,1,1,0,0,0,0,3,1,0.891636458
185,18513,0.7,18,31.9,34.15,0,2,6,6,0,0,1,1,0,0,6,6,2,2,1,1,1,1,3,3,0,0,1,1,0,0,3,1,0.891636458
185,18513,0.7,9,36.6,38.85,0,2,9,9,1,1,0,0,1,1,3,3,6,6,3,1,2,1,1,1,1,1,2,2,2,2,4,1,0.891636458
185,18513,0.7,17,38.85,41.1,0,0,9,9,0,0,1,1,0,1,6,5,6,6,1,1,0,0,2,2,1,1,2,2,0,0,4,1,0.891636458
185,18513,0.7,16,41.1,43.35,0,0,0,0,0,0,1,1,1,1,5,5,6,6,1,1,0,0,2,2,1,1,2,2,1,1,4,1,0.891636458
185,18513,0.7,1,43.35,45.6,1,0,1,1,1,1,0,0,1,1,3,3,6,6,1,1,1,1,1,1,1,1,2,2,0,0,4,1,0.891636458
185,18513,0.7,4,48.05,50.3,0,0,2,2,0,0,0,0,0,0,8,8,4,4,0,0,5,5,2,2,1,1,0,0,0,0,5,2,0.891636458
185,18513,0.7,2,50.3,52.55,0,1,6,6,0,0,1,1,1,1,5,5,3,3,2,1,1,1,3,3,0,0,2,2,1,1,5,2,0.891636458
185,18513,0.7,6,52.55,54.8,0,3,4,4,0,0,1,1,0,0,6,6,4,4,0,0,2,2,2,2,1,1,0,0,0,0,5,3,0.891636458
185,18513,0.7,10,54.8,57.05,0,0,4,4,0,0,1,1,1,1,5,5,2,2,1,1,1,1,2,2,0,0,1,1,0,0,5,2,0.891636458
185,18513,0.7,12,59.5,61.75,0,0,13,13,0,0,0,0,0,0,8,8,4,4,0,0,2,2,2,2,1,1,0,0,0,0,6,2,0.891636458
185,18513,0.7,3,61.75,64,0,3,3,3,1,1,0,0,1,1,3,3,6,6,1,1,1,1,2,2,1,1,2,2,0,0,6,2,0.891636458
185,18513,0.7,1,64,66.25,1,0,1,1,1,1,0,0,1,1,3,3,6,6,1,1,3,2,2,2,1,1,2,2,0,0,6,2,0.891636458
185,18513,0.7,13,66.25,68.5,1,1,12,12,0,0,0,0,0,0,8,8,4,4,0,0,1,1,2,2,1,1,0,0,1,1,6,2,0.891636458
185,18513,0.7,18,70.95,73.2,0,2,17,17,0,0,0,0,0,0,8,8,4,4,0,0,1,1,1,1,1,1,0,0,0,0,7,2,0.891636458
185,18513,0.7,9,73.2,75.45,0,2,17,17,0,0,1,1,0,0,6,6,4,4,0,0,2,2,3,3,1,1,0,0,0,0,7,2,0.891636458
185,18513,0.7,17,75.45,77.7,0,0,10,10,0,0,0,0,0,0,8,8,4,4,0,0,2,2,2,2,1,1,0,0,1,1,7,2,0.891636458
185,18513,0.7,10,77.7,79.95,0,0,9,9,0,0,0,0,0,0,8,8,4,4,0,0,2,2,1,1,1,1,0,0,0,0,7,3,0.891636458
185,18513,0.7,11,82.4,84.65,1,3,16,16,0,0,0,0,0,0,8,8,4,4,0,0,2,2,1,1,1,1,0,0,0,0,8,1,0.891636458
185,18513,0.7,8,84.65,86.9,1,0,16,16,0,0,1,1,1,1,5,5,6,6,1,1,0,0,3,3,1,1,2,2,1,1,8,1,0.891636458
185,18513,0.7,16,86.9,89.15,0,0,2,2,0,0,0,0,0,0,8,8,4,4,0,0,2,2,2,2,1,1,0,0,3,2,8,2,0.891636458
185,18513,0.7,2,89.15,91.4,0,1,11,11,0,0,0,0,0,0,8,8,4,4,0,0,2,2,1,1,1,1,0,0,0,0,8,3,0.891636458
185,18513,0.7,4,93.85,96.1,0,0,7,7,0,0,1,1,1,1,5,5,6,6,1,1,2,2,4,4,1,1,2,2,1,1,9,3,0.891636458
185,18513,0.7,17,96.1,98.35,0,0,5,5,0,0,1,0,0,0,6,8,4,4,0,0,3,3,2,2,1,1,0,0,0,0,9,3,0.891636458
185,18513,0.7,5,98.35,100.6,0,0,4,4,0,0,0,0,0,0,8,8,4,4,0,0,3,2,2,2,1,1,0,0,0,0,9,2,0.891636458
185,18513,0.7,7,100.6,102.85,0,2,17,17,0,0,0,0,0,0,8,8,3,3,1,1,1,1,2,2,0,0,2,2,1,1,9,2,0.891636458
185,18513,0.7,6,105.3,107.55,0,3,15,15,0,0,1,1,0,0,6,6,1,1,0,0,2,2,2,2,0,0,0,0,0,0,10,4,0.891636458
185,18513,0.7,14,107.55,109.8,0,0,15,15,0,0,1,1,1,1,5,5,6,6,1,1,1,1,3,3,1,1,2,2,0,0,10,2,0.891636458
185,18513,0.7,15,109.8,112.05,1,1,3,3,0,0,0,0,0,0,8,8,4,4,0,0,3,3,2,2,1,1,0,0,1,1,10,1,0.891636458
185,18513,0.7,3,112.05,114.3,0,3,6,6,0,0,0,0,0,0,8,8,3,3,1,1,3,3,3,3,0,0,2,2,0,0,10,3,0.891636458
185,18513,0.7,18,116.75,119,0,2,18,18,1,1,0,0,1,1,3,3,6,6,2,2,1,1,3,3,1,1,2,2,1,1,11,3,0.891636458
185,18513,0.7,16,119,121.25,0,0,18,18,0,0,1,1,0,0,6,6,2,2,1,1,4,3,4,4,0,0,1,1,0,0,11,3,0.891636458
185,18513,0.7,8,121.25,123.5,1,0,8,8,1,1,1,1,0,0,2,2,3,3,2,2,3,3,3,3,0,0,2,2,0,0,11,2,0.891636458
185,18513,0.7,15,123.5,125.75,1,1,16,16,0,0,0,0,0,0,8,8,4,4,0,0,2,2,1,1,1,1,0,0,0,0,11,2,0.891636458
185,18513,0.7,14,128.2,130.45,0,0,18,18,0,0,0,0,0,0,8,8,4,4,0,0,4,3,1,1,1,1,0,0,0,0,12,3,0.891636458
185,18513,0.7,8,130.45,132.7,1,0,18,18,0,0,1,1,1,1,5,5,6,6,1,1,0,0,3,3,1,1,2,2,1,1,12,3,0.891636458
185,18513,0.7,1,132.7,134.95,1,0,14,14,0,0,0,0,0,0,8,8,6,6,1,1,1,1,2,2,1,1,2,2,0,0,12,3,0.891636458
185,18513,0.7,18,134.95,137.2,0,2,1,1,0,0,0,0,0,0,8,8,4,4,0,0,2,2,2,2,1,1,0,0,2,2,12,4,0.891636458
185,18513,0.7,7,139.65,141.9,0,2,12,12,0,0,0,0,0,0,8,8,4,4,0,0,2,2,1,1,1,1,0,0,0,0,13,3,0.891636458
185,18513,0.7,5,141.9,144.15,0,0,12,12,0,0,1,1,0,0,6,6,4,4,1,1,2,2,3,3,1,1,0,0,0,0,13,3,0.891636458
185,18513,0.7,12,144.15,146.4,0,0,5,5,0,0,0,0,0,0,8,8,4,4,0,0,2,2,1,1,1,1,0,0,1,1,13,3,0.891636458
185,18513,0.7,14,146.4,148.65,0,0,5,5,0,0,1,1,1,1,5,5,6,6,1,1,0,0,3,3,1,1,2,2,0,0,13,4,0.891636458
185,18513,0.7,9,151.1,153.35,0,2,16,16,0,0,0,0,0,0,8,8,4,4,0,0,5,5,1,1,1,1,0,0,0,0,14,3,0.891636458
185,18513,0.7,13,153.35,155.6,1,1,16,16,0,0,1,1,0,0,6,6,1,1,1,1,4,3,4,4,0,0,0,0,0,0,14,3,0.891636458
185,18513,0.7,3,155.6,157.85,0,3,0,0,0,0,1,1,0,0,6,6,4,4,0,0,4,4,2,2,1,1,0,0,1,1,14,4,0.891636458
185,18513,0.7,16,157.85,160.1,0,0,9,9,0,0,1,1,0,0,6,6,2,2,1,1,2,2,4,4,0,0,1,1,3,2,14,4,0.891636458
185,18513,0.7,5,162.55,164.8,0,0,5,5,1,1,0,0,1,1,3,3,6,6,1,1,2,2,1,1,1,1,2,2,1,1,15,4,0.891636458
185,18513,0.7,10,164.8,167.05,0,0,5,5,0,0,1,1,0,0,6,6,4,4,1,1,2,2,4,4,1,1,0,0,0,0,15,4,0.891636458
185,18513,0.7,15,167.05,169.3,1,1,11,11,0,0,1,1,1,1,5,5,6,6,1,1,1,1,3,3,1,1,2,2,0,0,15,3,0.891636458
185,18513,0.7,11,169.3,171.55,1,3,10,10,0,0,0,0,0,0,8,8,4,4,0,0,3,3,2,2,1,1,0,0,0,0,15,2,0.891636458
185,18513,0.7,6,174,176.25,0,3,12,12,0,0,0,0,0,0,8,8,4,4,0,0,2,2,1,1,1,1,0,0,0,0,16,5,0.891636458
185,18513,0.7,9,176.25,178.5,0,2,12,12,0,0,1,1,1,1,5,5,6,6,1,1,1,1,2,2,1,1,2,2,0,0,16,4,0.891636458
185,18513,0.7,12,178.5,180.75,0,0,9,9,0,0,1,1,1,0,5,6,1,1,1,0,2,2,4,3,0,0,0,0,1,1,16,4,0.891636458
185,18513,0.7,15,180.75,183,1,1,15,15,1,1,0,0,1,1,3,3,6,6,2,2,1,1,2,2,1,1,2,2,0,0,16,4,0.891636458
185,18513,0.7,4,185.45,187.7,0,0,4,4,1,1,0,0,1,1,3,3,6,6,1,1,0,0,1,1,1,1,2,2,1,1,17,4,0.891636458
185,18513,0.7,16,187.7,189.95,0,0,0,0,0,0,1,1,1,1,5,5,6,6,1,1,1,1,1,1,1,1,2,2,0,0,17,5,0.891636458
185,18513,0.7,15,189.95,192.2,1,1,16,16,0,0,1,1,1,1,5,5,6,6,1,1,2,2,3,3,1,1,2,2,0,0,17,5,0.891636458
185,18513,0.7,1,192.2,194.45,1,0,1,1,1,1,1,1,0,0,2,2,5,5,2,2,1,1,2,2,1,1,1,1,0,0,17,4,0.891636458
185,18513,0.7,9,196.9,199.15,0,2,14,14,0,0,0,0,0,0,8,8,4,4,1,1,2,2,2,2,1,1,0,0,1,1,18,5,0.891636458
185,18513,0.7,14,199.15,201.4,0,0,9,9,0,0,0,0,0,0,8,8,4,4,0,0,1,1,1,1,1,1,0,0,2,2,18,5,0.891636458
185,18513,0.7,2,201.4,203.65,0,1,9,9,0,0,1,1,0,0,6,6,4,4,1,1,1,1,3,3,1,1,0,0,0,0,18,4,0.891636458
185,18513,0.7,17,203.65,205.9,0,0,2,2,0,0,0,0,0,0,8,8,4,4,0,0,1,1,1,1,1,1,0,0,1,1,18,4,0.891636458
185,18513,0.7,2,208.35,210.6,0,1,2,2,1,1,1,1,0,0,2,2,2,2,1,1,3,3,3,3,0,0,1,1,3,1,19,5,0.891636458
185,18513,0.7,5,210.6,212.85,0,0,0,0,0,0,1,1,0,0,6,6,1,1,1,1,3,3,4,4,0,0,0,0,0,0,19,5,0.891636458
185,18513,0.7,11,212.85,215.1,1,3,5,5,0,0,1,1,0,0,6,6,4,4,0,0,2,2,3,3,1,1,0,0,0,0,19,3,0.891636458
185,18513,0.7,13,215.1,217.35,1,1,2,2,0,0,0,0,0,0,8,8,4,4,0,0,3,3,1,1,1,1,0,0,0,0,19,4,0.891636458
185,18513,0.7,1,219.8,222.05,1,0,0,11,0,0,1,0,0,0,6,8,4,4,0,0,2,2,1,1,1,1,0,0,0,0,20,5,0.891636458
185,18513,0.7,11,222.05,224.3,1,3,11,11,1,1,1,1,0,0,2,2,4,4,1,1,2,1,2,2,1,1,0,0,1,1,20,4,0.891636458
185,18513,0.7,15,224.3,226.55,1,1,1,1,0,0,1,1,0,0,6,6,6,6,1,1,1,1,3,3,1,1,2,2,0,0,20,6,0.891636458
185,18513,0.7,18,226.55,228.8,0,2,15,15,0,0,1,1,1,1,5,5,6,6,1,1,1,1,2,2,1,1,2,2,0,0,20,5,0.891636458
185,18513,0.7,17,231.25,233.5,0,0,5,5,0,0,0,0,0,0,8,8,4,4,1,1,2,2,3,3,1,1,0,0,0,0,21,5,0.891636458
185,18513,0.7,12,233.5,235.75,0,0,5,5,0,0,0,0,0,0,8,8,4,4,0,0,2,2,2,2,1,1,0,0,0,0,21,5,0.891636458
185,18513,0.7,5,235.75,238,0,0,17,17,0,0,0,0,0,0,8,8,4,4,0,0,3,3,2,2,1,1,0,0,2,2,21,6,0.891636458
185,18513,0.7,3,238,240.25,0,3,12,12,0,0,1,1,1,1,5,5,6,6,1,1,1,1,2,2,1,1,2,2,0,0,21,5,0.891636458
185,18513,0.7,1,242.7,244.95,1,0,1,1,1,1,1,1,0,0,2,2,3,6,3,2,1,1,3,3,0,1,2,2,3,3,22,6,0.891636458
185,18513,0.7,7,244.95,247.2,0,2,1,1,0,0,1,1,0,0,6,6,1,1,1,1,1,1,4,4,0,0,0,0,0,0,22,4,0.891636458
185,18513,0.7,8,247.2,249.45,1,0,7,7,0,0,1,1,1,1,5,5,6,6,2,1,3,3,2,2,1,1,2,2,0,0,22,4,0.891636458
185,18513,0.7,13,249.45,251.7,1,1,8,8,0,0,1,1,1,1,5,5,6,6,2,1,2,2,2,2,1,1,2,2,0,0,22,5,0.891636458
185,18513,0.7,4,254.15,256.4,0,0,14,14,0,0,0,0,0,0,8,8,1,1,0,0,2,2,3,3,0,0,0,0,0,0,23,5,0.891636458
185,18513,0.7,14,256.4,258.65,0,0,11,11,0,0,1,1,0,0,6,6,2,2,1,1,3,3,4,4,0,0,1,1,3,2,23,6,0.891636458
185,18513,0.7,11,258.65,260.9,1,3,14,14,0,0,1,1,1,1,5,5,6,6,2,2,4,4,2,2,1,1,2,2,0,0,23,5,0.891636458
185,18513,0.7,7,260.9,263.15,0,2,11,11,0,0,1,1,0,0,6,6,4,4,0,0,3,2,2,2,1,1,0,0,0,0,23,5,0.891636458
185,18513,0.7,16,265.6,267.85,0,0,0,0,0,0,1,1,0,0,6,6,2,2,2,2,1,1,3,3,0,0,1,1,0,0,24,6,0.891636458
185,18513,0.7,6,267.85,270.1,0,3,16,16,0,0,0,0,0,0,8,8,1,1,2,1,2,2,3,3,0,0,0,0,1,1,24,6,0.891636458
185,18513,0.7,10,270.1,272.35,0,0,6,6,0,0,1,1,1,1,5,5,6,6,1,1,3,3,2,2,1,1,2,2,0,0,24,5,0.891636458
185,18513,0.7,8,272.35,274.6,1,0,10,10,0,0,1,1,1,1,5,5,6,6,1,1,0,0,2,2,1,1,2,2,0,0,24,5,0.891636458
185,18513,0.7,2,277.05,279.3,0,1,0,0,0,0,0,0,0,0,8,8,3,3,1,1,1,1,2,2,0,0,2,2,0,0,25,6,0.891636458
185,18513,0.7,4,279.3,281.55,0,0,2,2,0,0,0,0,0,0,8,8,1,1,1,1,3,3,3,3,0,0,0,0,1,1,25,6,0.891636458
185,18513,0.7,9,281.55,283.8,0,2,4,4,0,0,0,0,0,0,8,8,1,4,0,0,2,2,2,2,0,1,0,0,1,1,25,6,0.891636458
185,18513,0.7,12,283.8,286.05,0,0,12,12,1,1,1,1,0,0,2,2,4,4,1,1,2,1,3,3,1,1,0,0,0,0,25,6,0.891636458
185,18513,0.7,13,288.5,290.75,1,1,10,10,0,0,1,1,0,0,6,6,4,4,0,0,2,2,2,2,1,1,0,0,0,0,26,6,0.891636458
185,18513,0.7,3,290.75,293,0,3,18,18,0,0,1,1,1,1,5,5,4,4,1,1,2,2,3,3,1,1,0,0,0,0,26,6,0.891636458
185,18513,0.7,18,293,295.25,0,2,13,13,0,0,0,0,0,0,8,8,1,1,0,0,2,2,3,3,0,0,0,0,1,1,26,6,0.891636458
185,18513,0.7,10,295.25,297.5,0,0,10,10,1,1,1,1,0,0,2,2,5,5,1,1,2,2,2,2,1,1,1,1,2,2,26,6,0.891636458
185,18513,0.7,11,299.95,302.2,1,3,0,0,0,0,0,0,0,0,8,8,1,1,0,0,2,2,1,1,0,0,0,0,1,1,27,6,0.891636458
185,18513,0.7,17,302.2,304.45,0,0,17,17,1,1,0,0,1,1,3,3,3,3,1,1,1,1,3,3,0,0,2,2,2,2,27,6,0.891636458
185,18513,0.7,7,304.45,306.7,0,2,11,11,0,0,0,0,0,0,8,8,6,6,1,1,2,2,2,2,1,1,2,2,0,0,27,6,0.891636458
185,18513,0.7,8,306.7,308.95,1,0,7,7,0,0,1,1,1,1,5,5,6,6,1,1,0,0,2,2,1,1,2,2,0,0,27,6,0.891636458
185,18514,0.7,10,2.25,4.5,1,0,5,5,0,0,0,0,0,0,8,8,1,1,1,1,3,2,3,3,0,0,0,0,1,1,1,1,0.693325997
185,18514,0.7,5,4.5,6.75,0,0,2,2,0,0,0,0,0,0,8,8,1,1,0,0,3,3,2,2,0,0,0,0,1,1,1,1,0.693325997
185,18514,0.7,7,6.75,9,0,2,10,10,0,0,0,0,0,0,8,8,2,2,1,1,0,0,4,4,0,0,1,1,1,1,1,1,0.693325997
185,18514,0.7,2,9,11.25,0,1,5,5,0,0,0,0,0,0,8,8,4,4,0,0,3,3,2,1,1,1,0,0,1,1,1,1,0.693325997
185,18514,0.7,14,13.7,15.95,0,0,3,3,0,0,1,1,1,1,5,5,3,3,1,1,3,2,3,3,0,0,2,2,1,1,2,1,0.693325997
185,18514,0.7,6,15.95,18.2,0,3,4,4,0,0,0,0,0,0,8,8,5,5,1,1,0,0,3,3,1,1,1,1,1,1,2,1,0.693325997
185,18514,0.7,3,18.2,20.45,0,3,3,3,1,1,0,0,1,1,3,3,2,5,1,1,2,2,2,2,0,1,1,1,1,1,2,1,0.693325997
185,18514,0.7,4,20.45,22.7,0,0,14,14,0,0,0,0,0,0,8,8,4,4,0,0,2,2,1,1,1,1,0,0,1,1,2,1,0.693325997
185,18514,0.7,12,25.15,27.4,0,0,18,18,0,0,1,1,0,0,6,6,4,4,0,0,2,2,3,3,1,1,0,0,1,1,3,1,0.693325997
185,18514,0.7,6,27.4,29.65,0,3,6,6,1,1,1,1,0,0,2,2,2,2,1,1,3,3,4,4,0,0,1,1,1,1,3,2,0.693325997
185,18514,0.7,13,29.65,31.9,0,1,13,13,1,1,1,0,1,1,1,3,6,6,3,2,2,2,2,2,1,1,2,2,1,1,3,1,0.693325997
185,18514,0.7,18,31.9,34.15,0,2,6,6,0,0,0,0,0,0,8,8,4,4,0,0,2,2,2,2,1,1,0,0,1,1,3,1,0.693325997
185,18514,0.7,9,36.6,38.85,0,2,9,9,1,1,1,1,0,0,2,2,2,5,1,1,1,1,3,3,0,1,1,1,1,1,4,1,0.693325997
